player_name,team_code,position,is_pitcher
I. Happ,DKG,DH,FALSE
R. Tellez,DMK,DH,FALSE
S. Beers,DDG,DH,FALSE
N. Cruz,SKD,DH,FALSE
M. Chavis,RGS,DH,FALSE
D. Vogelbach,DEV,DH,FALSE
C. Walker,LDY,DH,FALSE
B. Harper,SHO,DH,FALSE
Z. Wheeler,DKG,P,TRUE
C. Burnes,DMK,P,TRUE
L. Castillo,DDG,P,TRUE
M. Scherzer,SKD,P,TRUE
DK. Hudson,RGS,P,TRUE
A. Nola,DEV,P,TRUE
J. Urias,LDY,P,TRUE
F. Peralta,SHO,P,TRUE
Y. Darvish,DKG,P,TRUE
W. Buehler,DMK,P,TRUE
L. Webb,DDG,P,TRUE
I. Anderson,SKD,P,TRUE
K. Gibson,RGS,P,TRUE
M. Fried,DEV,P,TRUE
C. Kershaw,LDY,P,TRUE
S. Alcantara,SHO,P,TRUE
M Stroman,DKG,P,TRUE
B. Snell,DMK,P,TRUE
J. Luzardo,DDG,P,TRUE
Ty. MeGill,SKD,P,TRUE
M. Kelly,RGS,P,TRUE
B. Woodruff,DEV,P,TRUE
P. Lopez,LDY,P,TRUE
J. Musgrove,SHO,P,TRUE
E. Hernandez,DKG,P,TRUE
T. Walker,DMK,P,TRUE
K. Thompson,DDG,P,TRUE
T. Mahle,SKD,P,TRUE
C. Rodon,RGS,P,TRUE
A. Wainwright,DEV,P,TRUE
Jos. Gray,LDY,P,TRUE
S. Strasburg,SHO,P,TRUE
A. Heaney,DKG,P,TRUE
A. Ashby,DMK,P,TRUE
M. Gore,DDG,P,TRUE
A. Wood,SKD,P,TRUE
C. Bassitt,RGS,P,TRUE
Tr. Rodgers,DEV,P,TRUE
M. Keller,LDY,P,TRUE
K. Wright,SHO,P,TRUE
S. Matz,DKG,P,TRUE
H. Greene,DMK,P,TRUE
S. Manaea,DDG,P,TRUE
G. Marquez,SKD,P,TRUE
J. Quintana,RGS,P,TRUE
C. Morton,DEV,P,TRUE
D. Robertson,LDY,P,TRUE
K. Hendricks,SHO,P,TRUE
C. Kimbrel,DKG,P,TRUE
T. Rainey,DMK,P,TRUE
M. Mikolas,DDG,P,TRUE
C. Carrasco,SKD,P,TRUE
Z. Gallen,RGS,P,TRUE
J. McGee,DEV,P,TRUE
C. Kuhl,LDY,P,TRUE
T. Gonsolin,SHO,P,TRUE
W. Crowe,DKG,P,TRUE
Ra. Suarez,DMK,P,TRUE
B. Graterol,DDG,P,TRUE
T. Anderson,SKD,P,TRUE
D. Bard,RGS,P,TRUE
C. Stratton,DEV,P,TRUE
C. Doval,LDY,P,TRUE
D. Hudson,SHO,P,TRUE
C. Knebel,DKG,P,TRUE
T. Rodgers,DMK,P,TRUE
"J, Hader",DDG,P,TRUE
K. Jansen,SKD,P,TRUE
G. Gallegos,RGS,P,TRUE
D. Bednar,DEV,P,TRUE
M. Melancon,LDY,P,TRUE
E. Diaz,SHO,P,TRUE
